Date,IE00BLP5S353,LU0121204431,LU0171310955,LU0094557526,LU0171309270,LU0244354824,LU0248173006,PTSQUGHM0007,LU0384381660,LU0494093627,LU0823417141,LU1769942746,LU2210151697,IE00BD3B6K23,LU0108459040,LU1670715975,LU0213962813
2021-09-16,1.24,551.44,66.48,47.41,49.39,464.9,43.8,10.2,70.26,46.26,381.35,295.22,10.06,104.29,823.21,42.15,18.12
2021-09-17,1.25,547.99,66.74,47.05,49.35,469.42,43.71,10.2,69.96,46.19,384.41,292.76,10.06,104.39,828.82,42.02,17.91
2021-09-20,1.24,539.59,65.64,46.34,49.47,455.47,42.8,10.21,69.05,45.81,381.12,289.85,9.99,104.65,814.91,41.71,17.57
2021-09-21,1.24,542.92,65.83,46.75,49.71,453.86,42.85,10.21,69.73,45.92,384.21,289.25,10.02,104.51,823.44,41.47,17.54
2021-09-22,1.24,546.86,66.01,47.11,49.41,456.445,43.25,10.21,69.7,45.9,384.44,288.94,10.04,104.39,822.99,41.14,17.72
2021-09-23,1.24,552.32,67.0,47.34,49.92,459.03,43.65,10.21,70.28,46.17,387.48,292.12,10.02,104.39,833.52,41.09,17.57
2021-09-24,1.24,549.57,66.82,46.91,49.83,452.78,43.5,10.21,69.55,46.03,386.7,292.54,9.99,104.72,820.67,41.76,17.22
2021-09-27,1.23,544.55,66.33,46.74,49.32,450.97,43.65,10.21,69.68,45.92,382.68,294.9,9.93,104.79,819.82,41.57,17.45
2021-09-28,1.23,529.43,65.02,45.82,48.58,455.4,43.49,10.21,68.47,45.49,375.57,294.07,9.93,105.1,799.11,41.4,17.37
2021-09-29,1.23,531.86,64.68,46.13,48.94,452.69,43.27,10.21,68.37,45.48,379.61,293.3,9.87,105.03,796.13,40.95,17.49
2021-09-30,1.24,528.93,64.48,45.94,49.47,456.95,43.6,10.21,68.65,45.5,379.68,293.54,9.88,105.08,799.23,40.65,17.72
2021-10-01,1.23,532.72,63.73,46.19,48.29,454.885,43.25,10.21,68.28,45.24,379.15,288.15,9.89,104.97,795.34,40.08,17.66
2021-10-04,1.23,523.52,63.11,45.96,48.66,452.82,43.25,10.21,68.96,45.27,372.91,292.93,9.91,105.11,787.78,39.78,17.45
2021-10-05,1.24,532.29,62.98,46.4,48.48,450.57,43.11,10.21,68.85,45.29,376.17,290.88,9.91,105.1,785.72,39.32,17.44
2021-10-06,1.25,533.93,63.01,46.17,48.24,444.66,42.87,10.21,67.88,45.15,378.74,289.3,9.87,105.22,780.12,39.0,17.25
2021-10-07,1.25,541.28,64.92,46.5,49.21,457.4,43.94,10.21,69.32,45.67,382.79,294.33,9.87,104.87,786.42,39.27,17.59
2021-10-08,1.24,538.59,64.62,46.48,49.05,467.28,44.32,10.21,68.9,45.53,379.75,292.46,9.9,105.02,784.02,39.62,17.47
2021-10-11,1.24,541.874,64.13,46.22,48.97,470.61,44.57,10.22,68.7,45.42,378.11,292.85,9.91,105.12,783.16,39.66,17.72
2021-10-12,1.2349999999999999,545.158,63.8,46.47,48.59,465.62,44.27,10.22,68.81,45.32,378.13,290.69,9.9,105.22,784.11,39.2,17.58
2021-10-13,1.23,548.442,64.54,46.88,48.48,469.49666666666667,44.41,10.22,68.87,45.47,378.34,287.73,9.92,105.04,788.81,38.85,17.54
2021-10-14,1.225,551.726,65.68,47.29,48.92,473.37333333333333,44.86,10.22,69.96,45.7,382.34,290.88,9.93,104.86,796.21,38.77,17.29
2021-10-15,1.22,555.01,66.08,47.67,49.22,477.25,45.25,10.22,70.34,45.93,384.2,294.74,9.94,104.7,791.98,39.37,17.33
2021-10-18,1.22,555.96,66.35,47.48,48.81,478.46,45.08,10.22,70.05,45.86,381.19,291.67,9.97,104.78,782.45,39.72,17.22
2021-10-19,1.23,557.36,67.01,47.63,49.03,484.07,45.44,10.22,70.58,45.87,383.7,291.93,9.95,104.57,787.55,39.75,17.27
2021-10-20,1.22,558.16,67.28,47.79,49.63,491.88,45.75,10.22,71.08,45.98,387.97,295.06,9.92,104.48,786.99,39.65,17.34
2021-10-21,1.22,562.82,67.14,47.85,49.66,485.09,45.28,10.22,71.02,46.01,390.48,295.31,9.88,104.76,793.13,39.17,17.22
2021-10-22,1.22,564.77,67.32,47.77,50.04,490.22,45.67,10.25,71.31,46.22,392.89,295.84,9.89,104.91,790.7,39.24,17.25
2021-10-25,1.225,568.3,67.32,47.71,50.19,490.54,45.86,10.25,71.3,46.22,393.54,295.3,9.9,104.74,795.03,39.46,17.52
2021-10-26,1.23,571.08,68.12,48.02,50.32,489.41,45.99,10.25,71.55,46.5,395.86,294.95,9.91,104.57,795.4,39.69,17.75
2021-10-27,1.23,571.6,67.86,47.97,50.45,478.11,45.38,10.25,71.74,46.56,392.59,293.22,9.9,104.65,786.41,39.65,17.88
2021-10-28,1.23,572.38,67.42,48.0,50.22,476.45,45.32,10.25,71.66,46.47,393.75,291.44,9.81,104.77,801.41,39.66,17.75
2021-10-29,1.22,579.15,68.02,48.01,50.36,478.5,45.39,10.25,71.42,46.56,397.87,292.81,9.87,105.05,800.44,39.44,17.79
2021-11-01,1.22,576.2,68.47,48.185,50.75,481.66,45.77,10.254999999999999,71.345,46.74,398.36,293.685,9.89,105.13,810.82,39.72,17.830000000000002
2021-11-02,1.22,579.0,68.92,48.36,51.14,471.41,45.47,10.26,71.27,46.92,398.85,294.56,9.83,105.08,821.2,40.0,17.87
2021-11-03,1.23,581.86,68.76,48.55,51.18,468.44,45.12,10.26,70.91,46.91,402.75,297.95,9.85,105.06,833.84,40.03,17.88
2021-11-04,1.23,587.77,70.52,48.67,51.52,476.34,45.6,10.26,70.84,47.32,402.96,297.82,9.84,104.73,829.4,40.97,18.15
2021-11-05,1.23,586.06,70.86,48.64,51.42,470.33,45.74,10.26,71.11,47.51,396.75,299.56,9.83,104.47,811.91,40.4,18.28
2021-11-08,1.23,586.48,70.77,48.74,51.25,472.01,45.88,10.26,71.06,47.4,396.14,298.3,9.84,104.26,810.34,40.37,18.55
2021-11-09,1.23,583.72,70.18,48.71,51.07,470.23,45.71,10.26,71.19,47.24,394.96,298.16,9.81,104.3,803.85,39.86,18.64
2021-11-10,1.22,580.86,70.36,48.67,51.27,471.1,45.62,10.26,70.96,47.33,394.88,299.48,9.79,104.49,793.02,39.48,18.71
2021-11-11,1.22,584.24,70.61,48.76,51.52,475.08,46.16,10.26,70.32,47.36,394.5,299.52,9.84,104.47,790.92,39.8,18.72
2021-11-12,1.23,590.49,70.99,48.95,51.49,478.78,46.52,10.26,70.16,47.43,394.76,300.56,9.86,104.45,791.14,40.42,18.77
2021-11-15,1.23,591.72,71.85,49.19,51.64,483.69,46.95,10.27,69.97,47.58,393.96,300.89,9.85,104.42,788.01,40.9,19.38
2021-11-16,1.23,597.81,72.2,49.33,51.97,485.96,47.25,10.27,70.05,47.72,396.35,302.07,9.81,104.68,787.95,41.06,18.79
2021-11-17,1.23,597.73,72.61,49.19,52.13,486.67,47.38,10.27,69.77,47.72,396.87,299.77,9.73,104.78,785.79,40.68,18.69
2021-11-18,1.23,595.68,72.16,49.02,51.84,476.98,46.77,10.27,69.57,47.77,392.96,297.24,9.75,104.98,785.56,40.77,18.2
2021-11-19,1.23,600.61,72.78,49.04,51.97,474.81,46.83,10.27,69.35,48.02,392.62,296.08,9.75,105.02,786.54,41.13,17.94
2021-11-22,1.23,597.64,72.66,48.76,51.63,475.69,47.1,10.27,69.22,48.16,390.76,296.25,9.81,105.06,779.54,41.22,18.12
2021-11-23,1.23,592.28,70.62,48.33,51.38,470.75,46.82,10.27,69.49,47.76,388.65,297.8,9.89,105.57,777.86,41.02,16.61
2021-11-24,1.23,595.54,69.36,48.35,51.32,463.82,46.49,10.27,69.59,47.56,392.3,297.91,9.85,105.66,778.69,40.57,17.51
2021-11-25,1.23,587.505,70.55,47.745000000000005,51.56,468.26,46.55,10.27,70.29,47.8,392.36,295.625,9.8,106.15,776.85,40.79,17.8
2021-11-26,1.23,579.47,69.67,47.14,51.4,457.88,45.09,10.27,69.1,47.29,383.46,293.34,9.77,106.64,775.01,40.29,16.76
2021-11-29,1.23,590.32,69.92,47.29,51.15,459.01,45.44,10.28,68.89,47.33,382.22,292.99,9.74,106.38,773.17,39.49,16.48
2021-11-30,1.24,579.0,70.02,46.77,50.18,458.31,44.83,10.28,68.13,47.15,377.44,290.29,9.73,106.41,765.3,39.1,15.98
2021-12-01,1.24,573.51,69.35,46.91,49.92,457.18,45.31,10.28,67.63,47.12,373.95,289.51,9.79,106.21,756.32,39.23,16.48
2021-12-02,1.24,577.06,67.32,46.98,50.04,452.04,45.34,10.28,67.61,47.01,375.92,288.74,9.85,106.1,759.36,39.03,15.98
2021-12-03,1.25,571.11,66.54,46.77,50.05,450.92,45.32,10.28,67.69,47.03,373.88,291.63,9.92,106.27,743.97,39.86,16.38
2021-12-06,1.25,575.3,65.07,47.4,50.34,437.92,44.69,10.28,68.38,47.04,375.41,296.08,9.91,106.02,735.6,39.82,16.44
