"date";"price";
"2020-10-12";"212.42";
"2020-10-13";"211.90";
"2020-10-14";"210.63";
"2020-10-15";"214.32";
"2020-10-16";"212.92";
"2020-10-19";"210.34";
"2020-10-20";"210.20";
"2020-10-21";"207.84";
"2020-10-22";"210.48";
"2020-10-23";"210.57";
"2020-10-26";"205.51";
"2020-10-27";"202.64";
"2020-10-28";"198.14";
"2020-10-29";"203.64";
"2020-10-30";"201.75";
"2020-11-02";"206.09";
"2020-11-03";"210.98";
"2020-11-04";"209.36";
"2020-11-05";"214.53";
"2020-11-06";"211.57";
"2020-11-09";"220.58";
"2020-11-10";"225.50";
"2020-11-11";"225.69";
"2020-11-12";"221.46";
"2020-11-13";"226.09";
"2020-11-16";"232.68";
"2020-11-17";"233.60";
"2020-11-18";"232.50";
"2020-11-19";"233.36";
"2020-11-20";"234.76";
"2020-11-23";"242.56";
"2020-11-24";"246.95";
"2020-11-25";"246.27";
"2020-11-27";"246.06";
"2020-11-30";"241.92";
"2020-12-01";"241.43";
"2020-12-02";"241.62";
"2020-12-03";"243.29";
"2020-12-04";"250.90";
"2020-12-07";"250.76";
"2020-12-08";"252.42";
"2020-12-09";"251.59";
"2020-12-10";"252.02";
"2020-12-11";"250.05";
"2020-12-14";"247.71";
"2020-12-15";"253.04";
"2020-12-16";"251.13";
"2020-12-17";"252.97";
"2020-12-18";"252.92";
"2020-12-21";"253.16";
"2020-12-22";"255.84";
"2020-12-23";"257.98";
"2020-12-24";"258.17";
"2020-12-28";"257.23";
"2020-12-29";"252.44";
"2020-12-30";"255.24";
"2020-12-31";"257.35";
"2021-01-04";"253.55";
"2021-01-05";"258.58";
"2021-01-06";"268.54";
"2021-01-07";"274.14";
"2021-01-08";"272.48";
"2021-01-11";"274.59";
"2021-01-12";"279.61";
"2021-01-13";"278.57";
"2021-01-14";"284.17";
"2021-01-15";"282.20";
"2021-01-19";"286.07";
"2021-01-20";"288.14";
"2021-01-21";"286.03";
"2021-01-22";"288.01";
"2021-01-25";"288.15";
"2021-01-26";"286.36";
"2021-01-27";"279.88";
"2021-01-28";"280.29";
"2021-01-29";"274.13";
"2021-02-01";"284.12";
"2021-02-02";"288.16";
"2021-02-03";"290.68";
"2021-02-04";"298.85";
"2021-02-05";"300.36";
"2021-02-08";"309.15";
"2021-02-09";"308.74";
"2021-02-10";"307.34";
"2021-02-11";"309.64";
"2021-02-12";"311.68";
"2021-02-16";"311.94";
"2021-02-17";"311.77";
"2021-02-18";"305.27";
"2021-02-19";"312.47";
"2021-02-22";"312.48";
"2021-02-23";"310.00";
"2021-02-24";"317.89";
"2021-02-25";"305.86";
"2021-02-26";"309.18";
"2021-03-01";"321.23";
"2021-03-02";"316.47";
"2021-03-03";"317.54";
"2021-03-04";"309.92";
"2021-03-05";"316.21";
"2021-03-08";"322.33";
"2021-03-09";"324.94";
"2021-03-10";"330.96";
"2021-03-11";"335.40";
"2021-03-12";"338.63";
"2021-03-15";"341.65";
