"date";"price";
"2020-10-12";"1.50";
"2020-10-13";"1.50";
"2020-10-14";"1.51";
"2020-10-15";"1.49";
"2020-10-16";"1.48";
"2020-10-19";"1.47";
"2020-10-20";"1.47";
"2020-10-21";"1.48";
"2020-10-22";"1.47";
"2020-10-23";"1.47";
"2020-10-27";"1.47";
"2020-10-28";"1.48";
"2020-10-29";"1.49";
"2020-10-30";"1.48";
"2020-11-02";"1.48";
"2020-11-03";"1.49";
"2020-11-04";"1.48";
"2020-11-05";"1.53";
"2020-11-06";"1.55";
"2020-11-09";"1.59";
"2020-11-10";"1.56";
"2020-11-11";"1.53";
"2020-11-12";"1.54";
"2020-11-13";"1.55";
"2020-11-16";"1.56";
"2020-11-17";"1.56";
"2020-11-18";"1.57";
"2020-11-19";"1.56";
"2020-11-20";"1.58";
"2020-11-23";"1.60";
"2020-11-24";"1.60";
"2020-11-25";"1.59";
"2020-11-26";"1.60";
"2020-11-27";"1.60";
"2020-11-30";"1.58";
"2020-12-01";"1.59";
"2020-12-02";"1.57";
"2020-12-03";"1.57";
"2020-12-04";"1.58";
"2020-12-07";"1.59";
"2020-12-08";"1.60";
"2020-12-09";"1.61";
"2020-12-10";"1.61";
"2020-12-11";"1.62";
"2020-12-14";"1.61";
"2020-12-15";"1.61";
"2020-12-16";"1.62";
"2020-12-17";"1.63";
"2020-12-18";"1.64";
"2020-12-21";"1.65";
"2020-12-22";"1.64";
"2020-12-23";"1.67";
"2020-12-24";"1.68";
"2020-12-29";"1.66";
"2020-12-30";"1.68";
"2020-12-31";"1.71";
"2021-01-04";"1.73";
"2021-01-05";"1.75";
"2021-01-06";"1.75";
"2021-01-07";"1.77";
"2021-01-08";"1.80";
"2021-01-11";"1.82";
"2021-01-12";"1.81";
"2021-01-13";"1.81";
"2021-01-14";"1.82";
"2021-01-15";"1.82";
"2021-01-18";"1.83";
"2021-01-19";"1.85";
"2021-01-20";"1.90";
"2021-01-21";"1.91";
"2021-01-22";"1.89";
"2021-01-25";"1.90";
"2021-01-26";"1.88";
"2021-01-27";"1.85";
"2021-01-28";"1.82";
"2021-01-29";"1.80";
"2021-02-01";"1.83";
"2021-02-02";"1.89";
"2021-02-03";"1.90";
"2021-02-04";"1.90";
"2021-02-05";"1.91";
"2021-02-08";"1.92";
"2021-02-09";"1.93";
"2021-02-10";"1.94";
"2021-02-11";"1.94";
"2021-02-12";"1.95";
"2021-02-15";"1.97";
"2021-02-16";"1.96";
"2021-02-17";"1.99";
"2021-02-18";"1.96";
"2021-02-19";"1.93";
"2021-02-22";"1.91";
"2021-02-23";"1.88";
"2021-02-24";"1.85";
"2021-02-25";"1.85";
"2021-02-26";"1.80";
"2021-03-01";"1.82";
"2021-03-02";"1.85";
"2021-03-03";"1.86";
"2021-03-04";"1.82";
"2021-03-05";"1.79";
"2021-03-08";"1.77";
"2021-03-09";"1.75";
"2021-03-10";"1.78";
"2021-03-11";"1.79";
"2021-03-12";"1.80";
"2021-03-15";"1.80";
"2021-03-16";"1.80";
"2021-03-18";"1.79";
"2021-03-19";"1.78";
"2021-03-22";"1.78";
"2021-03-23";"1.78";
"2021-03-24";"1.77";
"2021-03-25";"1.72";
"2021-03-26";"1.75";
"2021-03-29";"1.75";
"2021-03-30";"1.75";
"2021-03-31";"1.75";
"2021-04-01";"1.78";
"2021-04-06";"1.77";
"2021-04-07";"1.76";
"2021-04-08";"1.77";
"2021-04-09";"1.76";
"2021-04-12";"1.73";
"2021-04-13";"1.73";
"2021-04-14";"1.75";
"2021-04-15";"1.75";
"2021-04-16";"1.75";
"2021-04-19";"1.74";
"2021-04-20";"1.74";
"2021-04-21";"1.72";
"2021-04-22";"1.73";
"2021-04-23";"1.74";
"2021-04-26";"1.75";
"2021-04-27";"1.76";
"2021-04-28";"1.77";
"2021-04-29";"1.77";
"2021-04-30";"1.73";
"2021-05-04";"1.72";
"2021-05-05";"1.71";
"2021-05-06";"1.70";
"2021-05-07";"1.69";
