"date";"price";
"2020-10-12";"1.10";
"2020-10-13";"1.10";
"2020-10-14";"1.11";
"2020-10-15";"1.11";
"2020-10-16";"1.11";
"2020-10-19";"1.10";
"2020-10-20";"1.10";
"2020-10-21";"1.11";
"2020-10-22";"1.11";
"2020-10-23";"1.10";
"2020-10-27";"1.10";
"2020-10-28";"1.10";
"2020-10-29";"1.10";
"2020-10-30";"1.10";
"2020-11-02";"1.09";
"2020-11-03";"1.09";
"2020-11-04";"1.09";
"2020-11-05";"1.08";
"2020-11-06";"1.08";
"2020-11-09";"1.07";
"2020-11-10";"1.05";
"2020-11-11";"1.04";
"2020-11-12";"1.04";
"2020-11-13";"1.05";
"2020-11-16";"1.05";
"2020-11-17";"1.05";
"2020-11-18";"1.05";
"2020-11-19";"1.05";
"2020-11-20";"1.05";
"2020-11-23";"1.06";
"2020-11-24";"1.06";
"2020-11-25";"1.06";
"2020-11-26";"1.06";
"2020-11-27";"1.07";
"2020-11-30";"1.06";
"2020-12-01";"1.06";
"2020-12-02";"1.07";
"2020-12-03";"1.07";
"2020-12-04";"1.07";
"2020-12-07";"1.07";
"2020-12-08";"1.07";
"2020-12-09";"1.07";
"2020-12-10";"1.07";
"2020-12-11";"1.07";
"2020-12-14";"1.07";
"2020-12-15";"1.06";
"2020-12-16";"1.07";
"2020-12-17";"1.07";
"2020-12-18";"1.07";
"2020-12-21";"1.07";
"2020-12-22";"1.07";
"2020-12-23";"1.07";
"2020-12-24";"1.08";
"2020-12-30";"1.08";
"2020-12-31";"1.08";
"2021-01-04";"1.08";
"2021-01-05";"1.09";
"2021-01-06";"1.09";
"2021-01-07";"1.10";
"2021-01-08";"1.10";
"2021-01-11";"1.11";
"2021-01-12";"1.11";
"2021-01-13";"1.11";
"2021-01-14";"1.11";
"2021-01-15";"1.11";
"2021-01-18";"1.11";
"2021-01-19";"1.11";
"2021-01-20";"1.12";
"2021-01-21";"1.12";
"2021-01-22";"1.12";
"2021-01-25";"1.13";
