"date";"price";
"2021-01-20";"32.56";
"2021-01-21";"32.40";
"2021-01-22";"31.85";
"2021-01-25";"31.54";
"2021-01-26";"31.37";
"2021-01-27";"30.26";
"2021-01-28";"30.24";
"2021-01-29";"30.20";
"2021-02-01";"30.24";
"2021-02-02";"31.01";
"2021-02-03";"31.36";
"2021-02-04";"31.99";
"2021-02-05";"32.40";
"2021-02-08";"32.88";
"2021-02-09";"32.90";
"2021-02-10";"33.11";
"2021-02-11";"33.11";
"2021-02-12";"33.07";
"2021-02-15";"33.52";
"2021-02-16";"33.65";
"2021-02-17";"33.67";
"2021-02-18";"33.42";
"2021-02-19";"33.61";
"2021-02-22";"33.65";
"2021-02-23";"33.49";
"2021-02-24";"34.14";
"2021-02-25";"34.79";
"2021-02-26";"33.48";
"2021-03-01";"34.07";
"2021-03-02";"34.23";
"2021-03-03";"34.35";
"2021-03-04";"34.23";
"2021-03-05";"33.67";
"2021-03-08";"34.19";
"2021-03-09";"34.14";
"2021-03-10";"34.70";
"2021-03-11";"35.08";
"2021-03-12";"35.46";
"2021-03-15";"35.43";
"2021-03-16";"35.21";
"2021-03-17";"34.91";
"2021-03-18";"35.55";
"2021-03-19";"34.86";
"2021-03-22";"34.41";
"2021-03-23";"34.09";
"2021-03-24";"34.21";
"2021-03-25";"33.38";
"2021-03-26";"34.35";
"2021-03-29";"34.09";
"2021-03-30";"34.27";
"2021-03-31";"34.30";
"2021-04-01";"34.42";
"2021-04-06";"35.04";
"2021-04-07";"34.95";
"2021-04-08";"34.66";
"2021-04-09";"35.10";
"2021-04-12";"35.11";
"2021-04-13";"34.83";
"2021-04-14";"35.22";
"2021-04-15";"35.08";
"2021-04-16";"35.44";
"2021-04-19";"35.52";
"2021-04-20";"34.92";
"2021-04-21";"34.57";
"2021-04-22";"34.89";
"2021-04-23";"35.03";
"2021-04-26";"35.95";
"2021-04-27";"35.86";
"2021-04-28";"36.16";
"2021-04-29";"36.61";
"2021-04-30";"36.54";
"2021-05-03";"36.54";
"2021-05-04";"35.91";
"2021-05-05";"36.40";
"2021-05-06";"36.44";
"2021-05-07";"36.88";
"2021-05-10";"37.43";
"2021-05-11";"36.80";
"2021-05-12";"36.34";
"2021-05-14";"36.69";
"2021-05-17";"36.60";
"2021-05-18";"37.21";
"2021-05-19";"36.12";
"2021-05-20";"36.55";
"2021-05-21";"37.02";
"2021-05-25";"37.07";
"2021-05-26";"36.67";
"2021-05-27";"37.30";
"2021-05-28";"37.36";
"2021-05-31";"37.32";
"2021-06-01";"37.71";
"2021-06-02";"37.87";
"2021-06-03";"37.67";
"2021-06-04";"37.68";
"2021-06-07";"37.93";
"2021-06-08";"37.51";
"2021-06-09";"37.34";
"2021-06-10";"37.39";
"2021-06-11";"37.15";
"2021-06-14";"37.08";
"2021-06-15";"36.89";
"2021-06-16";"36.72";
"2021-06-17";"36.67";
"2021-06-18";"35.23";
"2021-06-21";"35.30";
"2021-06-22";"35.39";
"2021-06-24";"35.92";
"2021-06-25";"36.55";
"2021-06-28";"36.18";
"2021-06-29";"36.16";
"2021-06-30";"35.95";
"2021-07-01";"36.20";
"2021-07-02";"36.30";
"2021-07-05";"36.40";
"2021-07-06";"36.04";
"2021-07-07";"35.64";
"2021-07-08";"34.76";
"2021-07-09";"35.55";
"2021-07-12";"35.98";
"2021-07-13";"35.87";
"2021-07-14";"35.88";
"2021-07-15";"35.49";
"2021-07-16";"35.60";
"2021-07-19";"33.90";
"2021-07-20";"34.28";
"2021-07-21";"35.37";
"2021-07-22";"35.36";
"2021-07-23";"35.42";
"2021-07-26";"35.71";
"2021-07-27";"35.41";
"2021-07-28";"35.67";
"2021-07-29";"36.08";
"2021-07-30";"36.19";
"2021-08-02";"36.29";
"2021-08-03";"35.43";
"2021-08-04";"35.80";
"2021-08-05";"36.22";
"2021-08-06";"36.92";
"2021-08-09";"37.04";
"2021-08-10";"37.27";
"2021-08-11";"37.92";
"2021-08-12";"38.09";
"2021-08-13";"38.15";
"2021-08-16";"37.37";
"2021-08-17";"37.20";
"2021-08-18";"37.13";
"2021-08-19";"36.77";
"2021-08-20";"36.36";
"2021-08-23";"37.10";
"2021-08-24";"37.42";
"2021-08-25";"37.89";
"2021-08-26";"38.06";
"2021-08-27";"38.05";
"2021-08-30";"37.91";
"2021-08-31";"37.65";
"2021-09-01";"37.59";
"2021-09-02";"37.61";
"2021-09-03";"37.60";
"2021-09-06";"37.54";
"2021-09-07";"37.69";
"2021-09-08";"37.20";
"2021-09-09";"37.23";
"2021-09-10";"37.08";
"2021-09-13";"37.10";
"2021-09-14";"37.22";
"2021-09-15";"36.90";
"2021-09-16";"37.29";
"2021-09-17";"37.34";
"2021-09-20";"35.95";
"2021-09-21";"36.16";
"2021-09-22";"36.66";
"2021-09-23";"37.37";
"2021-09-24";"37.80";
"2021-09-27";"38.28";
"2021-09-28";"38.02";
"2021-09-29";"37.54";
"2021-09-30";"37.63";
"2021-10-01";"37.44";
"2021-10-04";"38.12";
"2021-10-05";"37.96";
"2021-10-06";"37.81";
"2021-10-07";"38.68";
"2021-10-08";"38.53";
"2021-10-11";"38.61";
"2021-10-12";"37.93";
"2021-10-13";"37.48";
"2021-10-14";"38.01";
"2021-10-15";"38.86";
"2021-10-18";"38.96";
"2021-10-19";"39.03";
"2021-10-20";"39.05";
"2021-10-21";"39.36";
"2021-10-22";"39.44";
"2021-10-25";"39.53";
"2021-10-26";"39.53";
"2021-10-27";"39.25";
"2021-10-28";"38.68";
"2021-10-29";"38.67";
"2021-11-02";"38.86";
"2021-11-03";"38.94";
"2021-11-04";"38.41";
"2021-11-05";"38.73";
"2021-11-08";"38.75";
"2021-11-09";"38.30";
"2021-11-10";"38.57";
"2021-11-11";"38.41";
"2021-11-12";"38.29";
"2021-11-15";"38.70";
"2021-11-16";"38.26";
"2021-11-17";"38.00";
"2021-11-18";"37.41";
"2021-11-19";"36.51";
"2021-11-22";"36.81";
"2021-11-23";"37.02";
"2021-11-24";"37.16";
"2021-11-25";"37.16";
"2021-11-26";"35.28";
"2021-11-29";"35.49";
"2021-11-30";"35.23";
"2021-12-01";"35.63";
"2021-12-02";"35.22";
"2021-12-03";"35.22";
"2021-12-06";"35.39";
"2021-12-07";"36.19";
"2021-12-08";"36.18";
"2021-12-09";"36.07";
"2021-12-10";"35.87";
"2021-12-13";"35.53";
"2021-12-14";"35.59";
"2021-12-15";"35.04";
"2021-12-16";"35.77";
"2021-12-17";"34.89";
"2021-12-20";"34.28";
"2021-12-21";"35.02";
"2021-12-22";"35.57";
"2021-12-23";"36.01";
"2021-12-27";"36.00";
"2021-12-28";"36.35";
"2021-12-29";"36.19";
"2021-12-30";"36.35";
"2021-12-31";"36.19";
"2022-01-03";"36.66";
"2022-01-04";"37.78";
"2022-01-05";"37.76";
"2022-01-06";"37.29";
"2022-01-07";"38.21";
"2022-01-10";"38.00";
"2022-01-11";"38.07";
"2022-01-12";"38.71";
"2022-01-13";"38.95";
"2022-01-14";"38.03";
"2022-01-17";"38.30";
"2022-01-18";"37.62";
"2022-01-19";"37.26";
