"date";"price";
"2021-07-27";"10.18";
"2021-07-28";"10.18";
"2021-07-29";"10.18";
"2021-07-30";"10.18";
"2021-08-02";"10.18";
"2021-08-03";"10.18";
"2021-08-04";"10.18";
"2021-08-05";"10.18";
"2021-08-06";"10.18";
"2021-08-09";"10.18";
"2021-08-10";"10.18";
"2021-08-11";"10.19";
"2021-08-12";"10.19";
"2021-08-13";"10.19";
"2021-08-16";"10.19";
"2021-08-17";"10.19";
"2021-08-18";"10.19";
"2021-08-19";"10.19";
"2021-08-20";"10.19";
"2021-08-23";"10.19";
"2021-08-24";"10.19";
"2021-08-25";"10.19";
"2021-08-26";"10.19";
"2021-08-27";"10.19";
"2021-08-30";"10.19";
"2021-08-31";"10.20";
"2021-09-01";"10.20";
"2021-09-02";"10.20";
"2021-09-03";"10.20";
"2021-09-06";"10.20";
"2021-09-07";"10.20";
"2021-09-08";"10.20";
"2021-09-09";"10.20";
"2021-09-10";"10.20";
"2021-09-13";"10.20";
"2021-09-14";"10.20";
"2021-09-15";"10.20";
"2021-09-16";"10.20";
"2021-09-17";"10.20";
"2021-09-20";"10.21";
"2021-09-21";"10.21";
"2021-09-22";"10.21";
"2021-09-23";"10.21";
"2021-09-24";"10.21";
"2021-09-27";"10.21";
"2021-09-28";"10.21";
"2021-09-29";"10.21";
"2021-09-30";"10.21";
"2021-10-01";"10.21";
"2021-10-04";"10.21";
"2021-10-06";"10.21";
"2021-10-07";"10.21";
"2021-10-08";"10.21";
"2021-10-11";"10.22";
"2021-10-12";"10.22";
"2021-10-13";"10.22";
"2021-10-14";"10.22";
"2021-10-15";"10.22";
"2021-10-18";"10.22";
"2021-10-19";"10.22";
"2021-10-20";"10.22";
"2021-10-21";"10.22";
"2021-10-22";"10.25";
"2021-10-25";"10.25";
"2021-10-26";"10.25";
"2021-10-27";"10.25";
"2021-10-28";"10.25";
"2021-10-29";"10.25";
"2021-11-02";"10.26";
"2021-11-03";"10.26";
"2021-11-04";"10.26";
"2021-11-05";"10.26";
"2021-11-08";"10.26";
"2021-11-09";"10.26";
"2021-11-10";"10.26";
"2021-11-11";"10.26";
"2021-11-12";"10.26";
"2021-11-15";"10.27";
"2021-11-16";"10.27";
"2021-11-17";"10.27";
"2021-11-18";"10.27";
"2021-11-19";"10.27";
"2021-11-22";"10.27";
"2021-11-23";"10.27";
"2021-11-24";"10.27";
"2021-11-25";"10.27";
"2021-11-26";"10.27";
"2021-11-29";"10.28";
"2021-11-30";"10.28";
"2021-12-02";"10.28";
"2021-12-03";"10.28";
"2021-12-06";"10.28";
"2021-12-07";"10.28";
"2021-12-09";"10.28";
"2021-12-10";"10.29";
"2021-12-13";"10.29";
"2021-12-14";"10.29";
"2021-12-15";"10.29";
"2021-12-16";"10.29";
"2021-12-17";"10.30";
"2021-12-20";"10.30";
"2021-12-21";"10.30";
"2021-12-22";"10.30";
"2021-12-23";"10.30";
"2021-12-27";"10.30";
"2021-12-28";"10.30";
"2021-12-29";"10.30";
"2021-12-30";"10.30";
"2021-12-31";"10.30";
"2022-01-03";"10.31";
"2022-01-04";"10.31";
"2022-01-05";"10.31";
"2022-01-06";"10.31";
"2022-01-07";"10.31";
"2022-01-10";"10.31";
"2022-01-11";"10.31";
"2022-01-12";"10.31";
"2022-01-13";"10.31";
"2022-01-14";"10.31";
"2022-01-17";"10.31";
"2022-01-18";"10.32";
"2022-01-19";"10.32";
"2022-01-20";"10.32";
"2022-01-21";"10.32";
"2022-01-24";"10.32";
"2022-01-25";"10.32";
"2022-01-26";"10.32";
"2022-01-27";"10.32";
"2022-01-28";"10.32";
"2022-01-31";"10.32";
"2022-02-01";"10.32";
"2022-02-02";"10.32";
"2022-02-03";"10.32";
"2022-02-04";"10.32";
"2022-02-07";"10.33";
"2022-02-08";"10.33";
"2022-02-09";"10.33";
"2022-02-10";"10.33";
"2022-02-11";"10.33";
"2022-02-14";"10.33";
"2022-02-15";"10.33";
"2022-02-16";"10.33";
"2022-02-17";"10.33";
"2022-02-18";"10.33";
"2022-02-21";"10.34";
"2022-02-22";"10.34";
"2022-02-23";"10.34";
"2022-02-24";"10.34";
"2022-02-25";"10.34";
"2022-02-28";"10.34";
"2022-03-02";"10.34";
"2022-03-03";"10.34";
"2022-03-04";"10.34";
"2022-03-07";"10.34";
"2022-03-08";"10.35";
"2022-03-09";"10.35";
"2022-03-10";"10.35";
"2022-03-11";"10.35";
"2022-03-14";"10.35";
"2022-03-15";"10.35";
"2022-03-16";"10.35";
"2022-03-17";"10.35";
"2022-03-18";"10.35";
"2022-03-21";"10.35";
"2022-03-22";"10.36";
"2022-03-23";"10.36";
"2022-03-24";"10.36";
"2022-03-25";"10.36";
"2022-03-28";"10.36";
"2022-03-29";"10.36";
"2022-03-30";"10.43";
"2022-03-31";"10.43";
"2022-04-01";"10.43";
"2022-04-04";"10.43";
"2022-04-05";"10.43";
"2022-04-06";"10.43";
"2022-04-07";"10.43";
"2022-04-08";"10.44";
"2022-04-11";"10.44";
"2022-04-12";"10.44";
"2022-04-13";"10.44";
"2022-04-14";"10.44";
"2022-04-18";"10.44";
"2022-04-19";"10.44";
"2022-04-20";"10.44";
"2022-04-21";"10.44";
"2022-04-22";"10.44";
"2022-04-26";"10.45";
"2022-04-27";"10.45";
"2022-04-28";"10.45";
"2022-04-29";"10.45";
"2022-05-02";"10.45";
