ID,symbol,name,currency,risk,category,url
0,LU0213962813:EUR,HSBC GIF Turkey Equity EC,EUR,7,Ações Turquia,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0000000CS
1,LU0244354824:USD,Schroder ISF China Opps B Acc USD,USD,6,Ações China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR06FL0
2,LU1216622305:USD,T. Rowe Price Dyn Glb Bd A USD,USD,4,Obrigações Flexível Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000VZ3P
3,LU0900495697:USD,JPM China D (acc) USD,USD,7,Ações China,https://www.morningstar.pt/pt/screener/fund.aspx
4,LU0900496406:EUR,JPM China D (acc) EUR,EUR,6,Ações China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000PP59
5,IE00B6SCG018:EUR,T. Rowe Price Dyn Glb Inv Gr Bd A USD,USD,4,Obrigações Flexível Globais,https://www.morningstar.es/es/news/130234/concurso-carteras-de-las-eafis-resultados-septiembre-2014.aspx
6,IE00BD3B9479:EUR,Man GLG Glbl EM Dbt TR D USD Acc,USD,5,Obrigações Emergentes Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000X7XE
7,LU1071463183:USD,Pictet TR - Agora HP USD,USD,4,Alternativo Market Neutral - Ações USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000TW5H
8,LU0173614495:USD,Fidelity China Focus A-Dis-USD,USD,6,Ações China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04VMZ
9,IE00B6116G19:USD,Man GLG Alpha Select Alt DLH USD,USD,5,Alternativo Market Neutral - Ações USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000H5AR
10,LU0837970705:USD,abrdn China A Share Sus Eq A Acc USD,USD,6,Ações China - A Shares,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000PANP
11,IE00BKJ9MZ69:USD,Neuberger Berman China Eq USD A Acc,USD,6,Ações China,https://www.morningstar.pt/pt/screener/fund.aspx
12,LU0244354824:USD,Schroder ISF Greater China B Acc USD,USD,6,Ações Grande China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR06FL0
13,LU0067412154:USD,UBS (Lux) EF China Oppo(USD) P USD acc,USD,6,Ações China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04AOC
14,LU1245572752:EUR,T. Rowe Price Dyn Glb Bd Ah EUR,EUR,4,Obrigações Flexível Globais-EUR Hedged,https://www.morningstar.es/es/news/126462/concurso-carteras-de-las-eafis-resultados-junio-2014.aspx
