Code;Nome;Moeda;Quantidade
IE00B59GC072;GAM Star Global Accum Hedged;EUR;1022.81
IE00B6VXJV34;BNY Mellon Absolute Return Bond;EUR;315.475
IE00BNQ4LN68;GAM Star MBS Total Return USD;USD;1962.32
LU0048621477;Fidelity Thailand A-DIST-USD;USD;310.86
LU0055114457;Fidelity Indonesia A-Dist;USD;508.61
LU0122613903;T Eastern Europe;EUR;32.196
LU0132636399;UBAM Dynamic Euro Bond;EUR;157.846
LU0219441655;MFS Meridian Funds - U.K. Equity;USD;581.644
LU0252500524;JPM EUR Money VNAV;EUR;271.872
LU0607518205;Invesco Emerg Market Bond Hedged;EUR;2083.906
LU0705071453;RAM System Long/Short Europ B;EUR;63.305
LU1146622755;Aberdeen China A Sustainable;USD;1183.737
LU1883334275;Amundi Global Subord Bond A;EUR;264.817
LU1965927921;DWS Invest ESG Floating Rate;EUR;200.0
LU2308174304;Morgan Stanley Global Opport;EUR;856.413
